*Action(SiteID=UK|Country=GB|Currency=GBP|Version=1193),Item number,Custom label (SKU),C:Country of Origin,C:Arm (inches),C:Brand,C:Colour,C:Department,C:Fabric Type,C:Length (inches),C:MPN,C:Neckline,C:Pit to Pit (inches),C:Size,C:Size Type,C:Sleeve Length,C:Type,C:Material,C:Accents,C:Occasion,C:Pattern,C:Season,C:Sleeve Type,C:Style,C:Closure,C:Fit,C:Strap Type
Revise,318848479407,QTN02-001-004,Italy,25,16ARLINGTON,Blue,Women,Woven,31,Does Not Apply,Collared,19,8,Regular,Long Sleeve,Button-Up,Polyester,,,,,,,,,
Revise,318848479414,QTN02-001-161,Türkiye,10,ATTICO,Black,Women,Knit,31,Does Not Apply,Round Neck,25,EU 38,Regular,Short Sleeve,T-Shirt,100% Cotton,Strap,Casual,Solid,Spring|Summer,Short Sleeve,,,,
Revise,137717943425,QTN02-001-502,Bulgaria,,ENTIRE STUDIOS,White,Women,,25,Does Not Apply,Square Neck,12,XS,Regular,Sleeveless,Tank,Polyester|Viscose,,,Solid,,Sleeveless,Camisole,,,
Revise,137717943429,QTN02-001-546,Bangladesh,25,FRANKIE SHOP,Green,Women,Mesh,23.5,Does Not Apply,High Neck,14,S,Regular,Long Sleeve,Blouse,Elastane|Polyester,,,Solid,,Long Sleeve,,,,
Revise,318848479475,QTN02-001-782,Italy,7.5,Jacquemus,Yellow,Women,,20.5,Does Not Apply,,18,EU 40,Regular,Short Sleeve,Polo,Polyester|Elastane|Viscose,,Casual,Solid,Spring|Summer,Short Sleeve,,,,
Revise,366658497567,QTN02-001-805,France,25.5,Jil Sander,Green,Women,Woven,30,Does Not Apply,Collared,21,EU 36,Regular,Long Sleeve,Button-Up,Mohair|Wool,,,Striped,,Long Sleeve,,Button,,
Revise,318848479503,QTN02-001-962,United Kingdom,,MAGDA BUTRYM,Blue,Women,Denim,13.5,Does Not Apply,,14,EU 36,Regular,Sleeveless,Tank,100% Cotton,Ruffle|Zip,Casual|Party/Cocktail,Solid,Spring|Summer,,Basic,Zip,Slim,Strapless
Revise,318848479509,QTN02-002-051,Italy,6,MARQUES'ALMEIDA,White,Women,Lace,32.5,Does Not Apply,,17.5,XS,Regular,Short Sleeve,T-Shirt,Cotton|Polyamide,,,Solid,,Short Sleeve,,,,
Revise,318848479493,QTN02-002-203,,24.5,OUR LEGACY,Green,Women,Woven,22,Does Not Apply,,17,EU 38,Regular,Long Sleeve,Button-Up,100% Cotton,,,Solid,,Long Sleeve,Wrap,,Regular,
Revise,137717943441,QTN02-002-209,,5.5,OUR LEGACY,Grey,Women,Knit,24,Does Not Apply,,22,EU 40,Regular,Short Sleeve,T-Shirt,100% Cotton,,Casual,Check,,Short Sleeve,,,,
Revise,366658497572,QTN02-002-355,,,Rick Owens,Brown,Women,Denim,17,Does Not Apply,,14,EU 40,Regular,Sleeveless,Tank,Polyamide|Elastane|Polyester,,,Solid,,,Basic,,,Strapless
Revise,318848479529,QTN02-002-357,France,24,Rick Owens,Black,Women,Woven,32,Does Not Apply,Boat Neck,27,EU 38,Regular,Long Sleeve,Blouse,Viscose,,,Solid,,,Basic,,,
Revise,318848479531,QTN02-002-381,,,Rick Owens,Blue,Women,Denim,28,Does Not Apply,,13,EU 38,Regular,Sleeveless,Blouse,Cotton|Polyester,,Casual,Solid,Spring|Summer,Sleeveless,Basic,,,
Revise,137717943446,QTN02-002-382,Italy,,Rick Owens,Silver,Women,Denim,,Does Not Apply,,,8,Regular,Sleeveless,Tank,Elastane|Cotton,,Party/Cocktail,Solid,Autumn|Winter,,Basic,,Extra-Slim,Strapless
Revise,137717943443,QTN02-002-629,Italy,23.5,Thom Browne,Blue,Women,Jersey,22.5,Does Not Apply,Crew Neck,16.5,EU 40,Regular,Long Sleeve,Blouse,100% Cotton,,Casual,Solid,Autumn|Winter,Long Sleeve,Basic,,,
Revise,137717943447,QTN02-002-740,Bulgaria,6.5,Y PROJECT,White,Women,Jersey,21,Does Not Apply,,14,M,Regular,Short Sleeve,T-Shirt,Cotton|Elastane,,,Solid,,Short Sleeve,,,,
Revise,318848479543,QTN02-002-748,China,26,ZIMMERMANN,Red,Women,Woven,27.5,Does Not Apply,,24,8,Regular,Long Sleeve,Blouse,Viscose,Button,Casual,,,Long Sleeve,Basic,Button,,
