*Action(SiteID=UK|Country=GB|Currency=GBP|Version=1193),Item number,Custom label (SKU),C:Country of Origin,C:Arm (inches),C:Brand,C:Colour,C:Department,C:Fabric Type,C:Fit,C:Length (inches),C:MPN,C:Occasion,C:Pattern,C:Pit to Pit (inches),C:Size,C:Size Type,C:Type,C:Material,C:Accents,C:Closure,C:Collar Style,C:Neckline,C:Season,C:Sleeve Length,C:Vintage
Revise,318847666061,QTN02-001-126,United Kingdom,11.5,AMIRI,Black,Men,Woven,Regular,28,Does Not Apply,Casual,Solid,21,M,Regular,Button-Up,Polyester,,,,,,,
Revise,137717192507,QTN02-001-181,Italy,10.5,Balmain,Black,Men,Rayon,Regular,28.5,Does Not Apply,Casual,Paisley,23,XL,Regular,Button-Up,Viscose,Button,Button,Spread,Collared,Spring|Summer,Short Sleeve,No
Revise,318847666094,QTN02-001-184,Italy,9.5,Balmain,White,Men,Knit,Regular,31,Does Not Apply,Casual,Graphic Print,23,L,Regular,Button-Up,Cotton,,,,,Spring|Summer,Short Sleeve,No
Revise,366658099310,QTN02-001-257,Italy,25,CARTER YOUNG,Blue,Men,Twill,Classic,31,Does Not Apply,Business|Casual|Workwear,,23,M,Regular,Button-Up,Cotton,Button,Button,,,,,
Revise,318847666126,QTN02-001-259,Italy,11,Casablanca,White,Men,Satin,Regular,28,Does Not Apply,Casual,Solid,22,M,Regular,Button-Up,Silk,Button,Button,Band,,Spring|Summer,Short Sleeve,No
Revise,318847666121,QTN02-001-261,Italy,10,Casablanca,Black,Men,Knit,Regular,30,Does Not Apply,Casual,Graphic Print,24,2XL,Regular,Button-Up,Cotton,,,,,Spring|Summer,Short Sleeve,No
Revise,137717192614,QTN02-001-265,Vietnam,9.5,Casablanca,White,Men,Knit,Regular,28,Does Not Apply,Casual,Graphic Print,20,S,Regular,Button-Up,Cotton,,,,,Spring|Summer,Short Sleeve,No
Revise,137718561420,QTN02-001-266,Portugal,30,Casablanca,Black,Men,Jersey,Regular,27,Does Not Apply,Casual,,21,M,Regular,Button-Up,Polyester|Cotton,,,,,Autumn|Spring,Long Sleeve,No
Revise,318847666147,QTN02-001-276,United States,9,CHARLIE CONSTANTINOU,Brown,Men,Rayon,Athletic,25,Does Not Apply,Casual,Solid,20,L,Regular,Button-Up,Viscose,,,,,Spring|Summer,Sleeveless,
Revise,366658099321,QTN02-001-326,South Korea,24,COMME DES GARÇONS SHIRT,Blue,Men,Woven,Regular,30,Does Not Apply,Casual,Striped,21,S,Regular,Button-Up,Cotton,Button,Button,Button-Down,,Spring|Autumn,Long Sleeve,No
Revise,137717192687,QTN02-001-756,Vietnam,,Jacquemus,White,Men,Twill,Regular,,Does Not Apply,Casual,Graphic Print,,EU 52,Regular,Button-Up,Cotton,Button,Button,Spread,,Spring|Summer,Short Sleeve,
Revise,318847666211,QTN02-001-944,Portugal,11.5,LU'U DAN,Multicoloured,Men,Woven,Regular,32,Does Not Apply,Casual,Graphic Print,29,XL,Regular,Button-Up,Elastane|Polyester,,,,,Spring|Summer,,
Revise,137717192705,QTN02-002-054,Bangladesh,26,MARTINE ROSE,Grey,Men,Woven,Classic,31,Does Not Apply,,Solid,21,XS,Regular,Button-Up,Polyester,,,,,,,
Revise,366658099329,QTN02-002-057,Cambodia,12,MARTINE ROSE,White,Men,Woven,Regular,33,Does Not Apply,Casual,Solid,27.5,L,Regular,Button-Up,Cotton,,,,,Spring|Summer,Short Sleeve,No
Revise,137735741055,QTN02-002-196,China,24.5,OUR LEGACY,Beige,Men,Woven,Relaxed,33.5,Does Not Apply,Casual,Solid,31,EU 52,Regular,Button-Up,Cotton,Button,Button,Button-Down,Collared,Spring|Autumn,Long Sleeve,
Revise,137717192722,QTN02-002-197,China,24,OUR LEGACY,Beige,Men,Woven,Relaxed,32,Does Not Apply,Casual,Solid,30,EU 48,Regular,Button-Up,Cotton,Button,Button,Button-Down,,Spring|Autumn,Long Sleeve,No
Revise,137717192746,QTN02-002-206,,26.5,OUR LEGACY,Multicoloured,Men,Rayon,Regular,31,Does Not Apply,Casual,Graphic Print,27,EU 50,Regular,Button-Up,Viscose,,,,,,Long Sleeve,
Revise,137736025145,QTN02-002-297,Italy,27,PRADA,Yellow,Men,Woven,Classic,32,Does Not Apply,Casual|Business,Solid,24.5,EU 42,Regular,Button-Up,Cotton,Button,Button,Button-Down,Collared,Spring|Summer|Autumn,Long Sleeve,No
Revise,137717192770,QTN02-002-311,,8,PURPLE BRAND,White,Men,Knit,Regular,31.5,Does Not Apply,Casual,Graphic Print,24,XL,Regular,Button-Up,Cotton,,,,Crew Neck,Spring|Summer,Short Sleeve,
Revise,366658099358,QTN02-002-348,United States,9,RHUDE,Black,Men,Knit,Regular,28,Does Not Apply,Casual,Graphic Print,21.5,M,Regular,Button-Up,Cotton,,,,,Spring|Summer,Short Sleeve,
Revise,137717192779,QTN02-002-349,,5,RHUDE,White,Men,,Regular,29,Does Not Apply,Casual,Solid,26,M,Regular,Button-Up,Viscose|Cotton,,,,,Spring|Summer,Short Sleeve,
Revise,366658099365,QTN02-002-371,Italy,,RICK OWENS DRKSHDW,Black,Men,Jersey,Relaxed,34,Does Not Apply,Casual,Solid,24,XS,Regular,Button-Up,Cotton,,,,,Spring|Summer,Sleeveless,No
Revise,137717192790,QTN02-002-496,,11,Simone Rocha,Green,Men,Knit,Regular,29.5,Does Not Apply,Casual,Solid,25,L,Regular,Button-Up,Cotton,Ruffle,,,,Spring|Summer,Short Sleeve,
Revise,318847666366,QTN02-002-584,,8,Stone Island,Green,Men,Jersey,Regular,26.5,Does Not Apply,Casual,Solid,20,M,Regular,Button-Up,Cotton,,,,,Spring|Summer,Short Sleeve,No
Revise,318847666376,QTN02-002-617,,8,THE ROW,Blue,Men,Twill,Regular,29.5,Does Not Apply,Casual,,23,M,Regular,Button-Up,Cotton,,,,,Spring|Summer,Short Sleeve,No
Revise,366658099386,QTN02-002-643,Portugal,8,Tom Ford,Blue,Men,,Regular,27,Does Not Apply,Casual,Solid,18.5,EU 48,Regular,Button-Up,Polyester|Cotton,,,,Crew Neck,Autumn|Winter,,
Revise,318847666416,QTN02-002-647,Italy,26.5,Tom Ford,White,Men,Woven,Classic,30,Does Not Apply,Casual|Business,Solid,17.5,XS,Regular,Button-Up,Cotton,Button,Button,,,Spring|Summer|Autumn,,No
