*Action(SiteID=UK|Country=GB|Currency=GBP|Version=1193),Item number,Custom label (SKU),C:Country of Origin,C:Accents,C:Arm (inches),C:Brand,C:Colour,C:Department,C:Dress Length,C:Features,C:Length (inches),C:MPN,C:Neckline,C:Occasion,C:Pattern,C:Pit to Pit (inches),C:Season,C:Size,C:Size Type,C:Sleeve Length,C:Style,C:Material,C:Fabric Type,C:Sleeve Type,C:Vintage,C:Handmade,C:Personalise,C:Closure
Revise,137717192878,QTN02-001-087,Bangladesh,Bow,10,ALESSANDRA RICH,Blue,Women,Midi,Collared,50,Does Not Apply,V-Neck,Casual|Party/Cocktail,Floral,17,Spring|Summer,38,Regular,Short Sleeve,Shift,Polyester|Polyamide|Silk,,,,,,
Revise,318847666489,QTN02-001-273,Vietnam,Logo,,CELINE,Black,Women,Midi,Cut Out|Graphic Print,34.5,Does Not Apply,Round Neck,Casual|Party/Cocktail,,12.5,Spring|Summer,L,Regular,Sleeveless,Mini,Silk|Polyurethane|Polyamide,Woven,,,,,
Revise,366658099471,QTN02-001-431,Türkiye,,,DÔEN,Green,Women,Midi,Straps,48,Does Not Apply,Square Neck,Casual,Floral,15,Spring|Summer,S,Regular,,A-Line,100% Cotton,Woven,Strappy Sleeve,No,,,
Revise,137717192929,QTN02-001-482,Italy,,6,ELENA VELEZ,Beige,Women,Midi,,49,Does Not Apply,,Casual,No Pattern,19,Spring|Summer,6,Regular,Short Sleeve,Shift,Linen|Cotton,Woven,,No,No,No,
Revise,366658099504,QTN02-001-508,United States,,21,Farm Rio,Orange,Women,Short,,35,Does Not Apply,,Casual,,23,Spring|Summer,S,Regular,,Mini,Linen,Woven,,No,No,No,
Revise,137717192970,QTN02-001-884,United Kingdom,,,Khaite,White,Women,Midi,,,Does Not Apply,,Casual,No Pattern,,Spring|Summer,2,Regular,Sleeveless,Sheath,100% Cotton,Woven,,,,,
Revise,366658099536,QTN02-001-908,China,,,Khaite,Black,Women,Midi,Straps,52,Does Not Apply,,Party/Cocktail|Formal,No Pattern,22,Spring|Summer|Autumn,M,Regular,Sleeveless,Bodycon,Polyester|Silk|Polyamide|Viscose,,Strapless,,,,Zip
Revise,137717192999,QTN02-001-961,United Kingdom,,,MAGDA BUTRYM,Multicoloured,Women,Short,,29,Does Not Apply,,Casual|Party/Cocktail,Colourblock,16,Spring|Summer,8,Regular,,Mini,100% Silk,Woven,,,,,
Revise,366658099548,QTN02-002-090,Italy,,8,Miu Miu,White,Women,Midi,,33,Does Not Apply,V-Neck,Casual|Party/Cocktail,No Pattern,19,Spring|Summer,EU 40,Regular,Sleeveless,Tank Dress,100% Cotton,Woven,,,,,
Revise,137717193027,QTN02-002-472,,,7.5,Self-Portrait,Purple,Women,Short,,33,Does Not Apply,,Casual|Party/Cocktail,No Pattern,15,Spring|Summer,S,Regular,,Mini,Viscose|Elastane|Polyamide|Polyester,Knit,,No,No,No,
Revise,137717193038,QTN02-002-474,,Rhinestone,,Self-Portrait,Green,Women,Midi,Sheer,54,Does Not Apply,,Party/Cocktail|Formal,No Pattern,14,Spring|Summer,8,Regular,,Sheath,Polyester|Elastane,Mesh,,,,,
Revise,318847666724,QTN02-002-751,,,9,ZIMMERMANN,Multicoloured,Women,Midi,,36,Does Not Apply,,Casual|Party/Cocktail,Floral,25,Spring|Summer,12,Regular,Short Sleeve,Mini,Elastane|Polyester,Lace,,No,,,
Revise,137717193138,QTN02-002-753,China,,14,ZIMMERMANN,Multicoloured,Women,Midi,,52,Does Not Apply,High Neck,Casual|Party/Cocktail,Paisley,51,Autumn|Spring,8,Regular,Long Sleeve,Shift,Polyester|Elastane|Ramie,,,No,No,No,Tie
