*Action(SiteID=UK|Country=GB|Currency=GBP|Version=1193),Item number,Custom label (SKU),C:Accents,C:Arm (inches),C:Brand,C:Closure,C:Collar Style,C:Colour,C:Country of Origin,C:Department,C:Dress Length,C:Fabric Type,C:Fabric Wash,C:Features,C:Fit,C:Garment Care,C:Handmade,C:Inside Leg (inches),C:Leg Style,C:Length (inches),C:MPN,C:Material,C:Neckline,C:Occasion,C:Pattern,C:Personalise,C:Pit to Pit (inches),C:Pocket Type,C:Rise,C:Season,C:Size,C:Size Type,C:Skirt Length,C:Sleeve Length,C:Sleeve Type,C:Strap Type,C:Style,C:Type,C:Vintage,C:Waist Laying Flat (inches)
Revise,366658814627,QTN02-001-136,Logo,,AMIRI,Zip|Button,,Black,Morocco,Men,,Denim,Raw,,Slim,,,34,,45,Does Not Apply,Cotton,,,,,,5-Pocket Design,,,36,Regular,,,,,Skinny,Jeans,,18
Revise,366658099322,QTN02-001-554,,,Gallery Dept.,Button|Zip,,Blue,Bulgaria,Men,,Denim,Raw,,Slim,,,33,,43,Does Not Apply,Cotton,,,,,,5-Pocket Design,,,32,Regular,,,,,Skinny,Jeans,,17
Revise,137718561418,QTN02-001-878,Embroidered,,KARTIK RESEARCH,,,Black,Italy,Men,,Denim,,,,,,31,,42,Does Not Apply,Cotton,,,,,,5-Pocket Design,,,32,Regular,,,,,Straight,Jeans,,17
Revise,137713908854,QTN02-002-358,,,Rick Owens,Zip|Button,,Black,,Men,,Denim,,Distressed,,,,34,,49,Does Not Apply,Cotton,,,,,,5-Pocket Design,,,34,Regular,,,,,Straight,Jeans,,19
Revise,137735741062,QTN02-001-224,Logo,25,Burberry,,,Black,Italy,Men,,Knit,,Graphic Print,,,,,,27,Does Not Apply,Wool,Crew Neck,Casual,Graphic Print,,22,,,Autumn|Winter,M,Regular,,Long Sleeve,,,Pullover,Jumper,,
Revise,318843741904,QTN02-002-199,,26,OUR LEGACY,,,Brown,China,Men,,,,,,,,,,30,Does Not Apply,Polyamide|Alpaca|Polyester|Acrylic|Wool,,,Check,No,24,,,Autumn|Winter,EU 48,Regular,,,,,Cardigan,Jumper,No,
Revise,366668447442,QTN02-002-201,Button,26,OUR LEGACY,,,Brown,China,Men,,Knit,,,,,,,,30,Does Not Apply,Polyamide|Alpaca|Polyester|Acrylic|Wool,,Casual,Check,No,24,,,Autumn|Winter,EU 48,Regular,,Long Sleeve,,,Cardigan,Jumper,No,
Revise,366656369757,QTN02-002-202,Zip,26,OUR LEGACY,,,Brown,China,Men,,Knit,,Full Zip|Hooded,,,,,,28.5,Does Not Apply,Wool,Collared,Casual,Check,No,26,,,Autumn|Winter,EU 50,Regular,,Long Sleeve,,,Full Zip,Jumper,No,
Revise,318847666430,QTN02-002-724,,21,VISVIM,,,Beige,Japan,Men,,Knit,,,,,,,,28,Does Not Apply,Cashmere|Wool,Collared,Casual,No Pattern,No,23,,,Autumn|Winter,L,Regular,,Long Sleeve,,,Pullover,Jumper,No,
Revise,366658099413,QTN02-001-077,,,ALAIA,,,Blue,Italy,Women,,,Raw,Pockets,,,,31,,41,Does Not Apply,Polyurethane|Cotton,,,,,,5-Pocket Design,Mid (8.5-10.5 in),,36,Regular,,,,,Wide-Leg,Jeans,,15
Revise,137717192913,QTN02-001-100,,,Alexander Wang,,,Blue,Italy,Women,,Denim,Raw,,,,No,32,,44,Does Not Apply,100% Cotton,,,,No,,,,,26,Regular,,,,,Straight,Jeans,No,15
Revise,318843741914,QTN02-001-167,,,ATTICO,Zip|Button,,Grey,Türkiye,Women,,,Light,,,,,38,,48,Does Not Apply,Cotton|Polyester,,,,,,5-Pocket Design,,,25,Regular,,,,,Wide-Leg,Jeans,,15.5
Revise,366668360604,QTN02-001-899,,,Khaite,,,Blue,Italy,Women,,,Raw,,,,,35,,46,Does Not Apply,Polyurethane|Cotton,,,,,,,,,27,Regular,,,,,Wide-Leg,Jeans,,14.5
Revise,318847666597,QTN02-001-926,,,Lemaire,,,Green,Ukraine,Women,,Denim,,Pockets,,,,32,,44,Does Not Apply,100% Cotton,,,No Pattern,,,5-Pocket Design,High (Greater than 10.5 in),,EU 36,Regular,,,,,Straight,Jeans,,14.5
Revise,366658099596,QTN02-002-700,Studded,,Versace,,,Pink,Bangladesh,Women,,,Raw,Distressed,,,,35,,46,Does Not Apply,100% Cotton,,,,,,,,,26,Regular,,,,,Straight,Jeans,,14
Revise,137717615075,QTN02-002-741,Strap,,Y PROJECT,Buckle,,Green,Portugal,Women,,Denim,Raw,,,,,33,,43,Does Not Apply,100% Cotton,,,,,,5-Pocket Design,,,25,Regular,,,,,Straight,Jeans,No,14
Revise,137717192930,QTN02-001-439,,,Dolce&Gabbana,Zip,,Purple,Türkiye,Women,,,,Pockets,,,,2,,17,Does Not Apply,Elastane|Cotton|Linen|Viscose,,Casual|Party/Cocktail,Floral,,,,High (Greater than 10.5 in),Spring|Summer,EU 42,Regular,,,,,Hot Pants,,,13.5
Revise,318847666560,QTN02-001-741,,,Isabel Marant,Button,,Blue,China,Women,,,,,,,,3,,16,Does Not Apply,Hemp|Polyester|Cotton,,Casual,No Pattern,,,5-Pocket Design,,Spring|Summer,EU 40,Regular,,,,,Cut-Off,,,17
Revise,137717193037,QTN02-002-439,,,Saint Laurent,,,Pink,China,Women,,,,,,,,1.5,,10.5,Does Not Apply,100% Wool,,Casual,No Pattern,,,,,Autumn|Winter,S,Regular,,,,,Boyfriend,,,14
Revise,137717193091,QTN02-002-731,,,WARDROBE NYC,,,Blue,,Women,,,,,,,,10,,23,Does Not Apply,100% Cotton,,Casual,No Pattern,,,,Low (6.5-8.5 in),Spring|Summer,10,Regular,,,,,Cut-Off,,No,16
Revise,318847666694,QTN02-002-745,Buckle|Strap,,ZIMMERMANN,Buckle,,Multicoloured,,Women,,,,Belted,,,,2,,17,Does Not Apply,Cotton|Linen,,Casual,Animal Print,,,,,Spring|Summer,12,Regular,,,,,Utility,,,15.5
Revise,137717192624,QTN02-001-263,,,Casablanca,,,Blue,Italy,Men,,,,,Athletic,Machine Washable,,5.5,,17.5,Does Not Apply,Polyester,,Casual,,,,,,Spring|Summer,L,Regular,,,,,Sweat,,,15.5
Revise,366658099362,QTN02-002-380,,,Rick Owens,Drawstring,,Grey,,Men,,Knit,,Drawstring|Pockets|Stretch,Relaxed,Machine Washable,No,8,,26,Does Not Apply,Cotton|Elastane,,Casual,No Pattern,No,,,,Spring|Summer,EU 42,Regular,,,,,Sweat,,No,18
Revise,318848479407,QTN02-001-004,,25,16ARLINGTON,,,Blue,Italy,Women,,Woven,,,,,,,,31,Does Not Apply,Polyester,Collared,,,,19,,,,8,Regular,,Long Sleeve,,,,Button-Up,,
Revise,318848479414,QTN02-001-161,Strap,10,ATTICO,,,Black,Türkiye,Women,,Knit,,,,,,,,31,Does Not Apply,100% Cotton,Round Neck,Casual,Solid,,25,,,Spring|Summer,EU 38,Regular,,Short Sleeve,Short Sleeve,,,T-Shirt,,
Revise,137717943425,QTN02-001-502,,,ENTIRE STUDIOS,,,White,Bulgaria,Women,,,,,,,,,,25,Does Not Apply,Polyester|Viscose,Square Neck,,Solid,,12,,,,XS,Regular,,Sleeveless,Sleeveless,,Camisole,Tank,,
Revise,137717943429,QTN02-001-546,,25,FRANKIE SHOP,,,Green,Bangladesh,Women,,Mesh,,,,,,,,23.5,Does Not Apply,Elastane|Polyester,High Neck,,Solid,,14,,,,S,Regular,,Long Sleeve,Long Sleeve,,,Blouse,,
Revise,318848479475,QTN02-001-782,,7.5,Jacquemus,,,Yellow,Italy,Women,,,,,,,,,,20.5,Does Not Apply,Polyester|Elastane|Viscose,,Casual,Solid,,18,,,Spring|Summer,EU 40,Regular,,Short Sleeve,Short Sleeve,,,Polo,,
Revise,366658497567,QTN02-001-805,,25.5,Jil Sander,Button,,Green,France,Women,,Woven,,,,,,,,30,Does Not Apply,Mohair|Wool,Collared,,Striped,,21,,,,EU 36,Regular,,Long Sleeve,Long Sleeve,,,Button-Up,,
Revise,318848479503,QTN02-001-962,Ruffle|Zip,,MAGDA BUTRYM,Zip,,Blue,United Kingdom,Women,,Denim,,,Slim,,,,,13.5,Does Not Apply,100% Cotton,,Casual|Party/Cocktail,Solid,,14,,,Spring|Summer,EU 36,Regular,,Sleeveless,,Strapless,Basic,Tank,,
Revise,318848479509,QTN02-002-051,,6,MARQUES'ALMEIDA,,,White,Italy,Women,,Lace,,,,,,,,32.5,Does Not Apply,Cotton|Polyamide,,,Solid,,17.5,,,,XS,Regular,,Short Sleeve,Short Sleeve,,,T-Shirt,,
Revise,318848479493,QTN02-002-203,,24.5,OUR LEGACY,,,Green,,Women,,Woven,,,Regular,,,,,22,Does Not Apply,100% Cotton,,,Solid,,17,,,,EU 38,Regular,,Long Sleeve,Long Sleeve,,Wrap,Button-Up,,
Revise,137717943441,QTN02-002-209,,5.5,OUR LEGACY,,,Grey,,Women,,Knit,,,,,,,,24,Does Not Apply,100% Cotton,,Casual,Check,,22,,,,EU 40,Regular,,Short Sleeve,Short Sleeve,,,T-Shirt,,
Revise,366658497572,QTN02-002-355,,,Rick Owens,,,Brown,,Women,,Denim,,,,,,,,17,Does Not Apply,Polyamide|Elastane|Polyester,,,Solid,,14,,,,EU 40,Regular,,Sleeveless,,Strapless,Basic,Tank,,
